state,district,lat,lng,baseline_risk
Madhya Pradesh,Chhatarpur,24.7606089,79.6781776,0.1195678860790572
Madhya Pradesh,Chhindwara,22.2071897,78.798833,0.17063589491775105
Madhya Pradesh,Damoh,23.7981005,79.5419356,0.09108765038055487
Madhya Pradesh,Datia,25.9182947,78.6644962,0.04713970046648662
Madhya Pradesh,Dewas,22.8057498,76.2940408,0.165725509452492
Madhya Pradesh,Dhar,22.5786572,75.2258637,0.13331696538178248
Madhya Pradesh,Dindori,22.9070871,80.8846924,0.06408053032163025
Madhya Pradesh,Guna,24.5001772,77.2600959,0.10336361404370244
Madhya Pradesh,Gwalior,26.2037247,78.1573628,0.2386447336115885
Madhya Pradesh,Harda,22.2427973,77.1179173,0.05155904738521974
Madhya Pradesh,Hoshangabad,22.7545538,77.7198249,0.09403388165971029
Madhya Pradesh,Indore,22.7203616,75.8681996,0.2929044930027007
Madhya Pradesh,Jabalpur,23.1701522,79.9324505,0.24306408053032164
Madhya Pradesh,Jhabua,22.8869652,74.7243249,0.05401424011784925
Madhya Pradesh,Katni,23.7176393,80.2610181,0.10901055732875031
Madhya Pradesh,Khandwa,21.9769779,76.5675344,0.10925607660201325
Madhya Pradesh,Khargone,21.9544729,75.7521248,0.15197643014976675
Madhya Pradesh,Mandla,22.6871074,80.5816341,0.07046403142646698
Madhya Pradesh,Mandsaur,24.2628148,75.385692,0.09305180456665849
Madhya Pradesh,Morena,26.3849794,77.8612721,0.13380800392830838
Madhya Pradesh,Narsinghpur,22.934556,79.0867849,0.10041738276454702
Madhya Pradesh,Neemuch,24.6305517,75.1829,0.05082248956543089
Madhya Pradesh,Panna,24.4498931,80.1462723,0.061870856862263686
Madhya Pradesh,Raisen,23.2675909,78.1727134,0.09820770930518045
Madhya Pradesh,Rajgarh,23.8716707,76.7744703,0.1411735821261969
Madhya Pradesh,Ratlam,23.50222,74.9551534,0.13086177264915297
Madhya Pradesh,Rewa,24.7560846,81.3810574,0.15762337343481464
Madhya Pradesh,Sagar,23.8083076,78.758254,0.23987232997790325
Madhya Pradesh,Satna,24.6954445,80.7770348,0.13749079302725264
Madhya Pradesh,Sehore,23.1150041,77.0665356,0.1291431377363123
Madhya Pradesh,Seoni,22.2748109,79.7202522,0.14436533267861526
Madhya Pradesh,Shahdol,23.3002343,81.364771,0.15615025779523692
Madhya Pradesh,Shajapur,23.4171002,76.6074794,0.059170144856371225
Madhya Pradesh,Sheopur,25.7499267,76.9212945,0.021851215320402653
Madhya Pradesh,Shivpuri,25.3741215,77.8278866,0.12423275227105328
Madhya Pradesh,Sidhi,24.2112687,81.7000415,0.05401424011784925
Madhya Pradesh,Singrauli,24.2431343,82.3827672,0.0844586300024552
Madhya Pradesh,Tikamgarh,24.8552105,79.0472546,0.09477043947949915
Madhya Pradesh,Ujjain,23.1885131,75.7716562,0.21384728701203046
Madhya Pradesh,Umaria,23.6431837,80.9419078,0.041001718634912844
Madhya Pradesh,Vidisha,23.8463004,77.8370209,0.1637613552663884
Maharashtra,Ahmednagar,19.092952,74.7493451,0.23397986741959242
Maharashtra,Akola,20.7618122,77.1921157,0.12005892462558311
Maharashtra,Amravati Rural,21.4564599,78.2268091,0.23275227105327767
Maharashtra,Aurangabad Rural,19.8993677,75.3530128,0.13233488828873066
Maharashtra,Beed,18.9918442,75.909784,0.2020623618954088
Maharashtra,Bhandara,21.1225869,79.794509,0.05524183648416401
Maharashtra,Buldhana,20.562845,76.4086986,0.1392094279400933
Maharashtra,Chandrapur,20.0967555,79.5045475,0.1843849742204763
Maharashtra,Dhule,21.1305215,74.4900614,0.085440707095507
Maharashtra,Gadchiroli,19.7590704,80.1622807,0.030689909157868893
Maharashtra,Gondia,21.455228,80.1962729,0.07021851215320403
Maharashtra,Hingoli,19.5431163,77.1739432,0.05254112447827154
Maharashtra,Jalgaon,20.8428827,75.5261246,0.1824208200343727
Maharashtra,Jalna,19.918833,75.8708599,0.14903019887061134
Maharashtra,Kolhapur,16.7028412,74.2405329,0.15541369997544807
Maharashtra,Latur,18.3553347,76.7548997,0.125705867910631
Maharashtra,Nagpur Rural,21.138207,78.8107311,0.10311809477043948
Maharashtra,Nanded,19.0942729,77.4832628,0.13601767738767492
Maharashtra,Nandurbar,21.5141622,74.5405513,0.03486373680333906
Maharashtra,Navi Mumbai,19.0308262,73.0198537,0.15197643014976675
Maharashtra,Osmanabad,18.2822454,76.0588166,0.08077584090351092
Maharashtra,Palghar,19.757249,73.0931199,0.16965381782469924
Maharashtra,Parbhani,19.2901981,76.6026443,0.1161306162533759
Maharashtra,Pune Rural,18.5435175,73.8220743,0.27449054750797935
Maharashtra,Raigad,18.4928092,73.138071,0.07758409035109257
